Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0475343,2017-04-01,2020-08-23,"36 words","Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Hellbound, Flesh-Eating Subhumanoid Zombified Living Dead, Part 3","Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Hellbound, Flesh-Eating Subhumanoid Zombified Living Dead, Part 3",https://www.imdb.com/title/tt0475343/,Movie,4.4,80,2005,"Comedy, Horror",210,2005-07-22,"James Riffel"
2,tt1838609,2017-04-01,2020-08-23,"39 words ","Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil Mutant Hellbound Flesh Eating Crawling Alien Zombified Subhumanoid Living Dead, Part 5","Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil Mutant Hellbound Flesh Eating Crawling Alien Zombified Subhumanoid Living Dead, Part 5",https://www.imdb.com/title/tt1838609/,Movie,5.5,84,2011,"Comedy",62,2011-01-01,"James Riffel"
3,tt0166222,2017-04-01,2020-08-23,"20 words ","I Killed My Lesbian Wife, Hung Her on a Meathook, and Now I Have a Three Picture Deal at Disney","I Killed My Lesbian Wife, Hung Her on a Meathook, and Now I Have a Three Picture Deal at Disney",https://www.imdb.com/title/tt0166222/,Short,4.1,16,1993,"Short, Comedy, Horror",835,2020-06-26,"Ben Affleck"
4,tt0230575,2017-04-01,2020-08-23,"19 words ","Night of the Day of the Dawn of the Son of the Bride of the Return of the Terror","Night of the Day of the Dawn of the Son of the Bride of the Return of the Terror",https://www.imdb.com/title/tt0230575/,Movie,4.7,96,1991,"Comedy, Horror",686,2008-05-22,"James Riffel"
5,tt0443453,2017-04-01,2020-08-23,"12 words ","Borat","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan",https://www.imdb.com/title/tt0443453/,Movie,7.4,84,2006,"Comedy",451898,2006-11-03,"Larry Charles"
6,tt0057012,2017-04-01,2020-08-23,"13 words ","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",https://www.imdb.com/title/tt0057012/,Movie,8.3,95,1964,"Comedy, War",527867,1964-01-29,"Stanley Kubrick"
7,tt0363771,2017-04-01,2020-08-23,"11 words ","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://www.imdb.com/title/tt0363771/,Movie,6.9,143,2005,"Adventure, Family, Fantasy",435292,2005-12-09,"Andrew Adamson"
8,tt0443680,2017-04-01,2020-08-23,"10 words ","The Assassination of Jesse James by the Coward Robert Ford","The Assassination of Jesse James by the Coward Robert Ford",https://www.imdb.com/title/tt0443680/,Movie,7.5,160,2007,"Biography, Crime, Drama, History, Western",195567,2007-10-19,"Andrew Dominik"
9,tt0083745,2017-04-01,2020-08-23,"10 words ","Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean","Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",https://www.imdb.com/title/tt0083745/,Movie,7.1,109,1982,"Comedy, Drama",5277,1983-04-06,"Robert Altman"
10,tt2562232,2017-04-01,2020-08-23,"7 words ","Birdman or (The Unexpected Virtue of Ignorance)","Birdman or (The Unexpected Virtue of Ignorance)",https://www.imdb.com/title/tt2562232/,Movie,7.7,119,2014,"Comedy, Drama",674774,2014-11-14,"Alejandro G. Iñárritu"
11,tt0367882,2017-04-01,2020-08-23,"9 words ","Indiana Jones and the Kingdom of the Crystal Skull","Indiana Jones and the Kingdom of the Crystal Skull",https://www.imdb.com/title/tt0367882/,Movie,6.2,122,2008,"Action, Adventure",497057,2008-05-22,"Steven Spielberg"
12,tt0167260,2017-04-01,2020-08-23,"10 words ","The Lord of the Rings: The Return of the King","The Lord of the Rings: The Return of the King",https://www.imdb.com/title/tt0167260/,Movie,9.0,201,2003,"Action, Adventure, Drama, Fantasy",2026368,2003-12-17,"Peter Jackson"
13,tt0080684,2017-04-01,2020-08-23,"8 words ","Star Wars: Episode V - The Empire Strikes Back","Star Wars: Episode V - The Empire Strikes Back",https://www.imdb.com/title/tt0080684/,Movie,8.7,124,1980,"Action, Adventure, Fantasy, Sci-Fi",1408448,1980-06-18,"Irvin Kershner"
14,tt0114682,2017-04-01,2020-08-23,"8 words ","To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo Thanks for Everything, Julie Newmar",https://www.imdb.com/title/tt0114682/,Movie,6.7,109,1995,"Comedy, Drama",37988,1995-09-08,"Beeban Kidron"
15,tt2652118,2017-04-01,2020-08-23,"7 words ","Crouching Tiger, Hidden Dragon: Sword of Destiny","Wo hu cang long: Qing ming bao jian",https://www.imdb.com/title/tt2652118/,Movie,6.1,96,2016,"Action, Adventure, Drama, Fantasy",21161,2016-02-26,"Woo-Ping Yuen"
16,tt0167247,2017-04-01,2020-08-23,"10 words ","The Land Before Time VI: The Secret of Saurus Rock","The Land Before Time VI: The Secret of Saurus Rock",https://www.imdb.com/title/tt0167247/,Video,5.8,77,1998,"Animation, Adventure, Comedy, Drama, Family, Musical",3909,1998-12-01,"Charles Grosvenor"
17,tt0378230,2017-04-01,2020-08-23,"9 words ","The Land Before Time X: The Great Longneck Migration","The Land Before Time X: The Great Longneck Migration",https://www.imdb.com/title/tt0378230/,Video,6.0,84,2003,"Animation, Adventure, Comedy, Drama, Family",2943,2003-12-02,"Charles Grosvenor"
18,tt0113596,2017-04-01,2020-08-23,"11 words ","The Land Before Time III: The Time of the Great Giving","The Land Before Time III: The Time of the Great Giving",https://www.imdb.com/title/tt0113596/,Video,5.6,71,1995,"Animation, Adventure, Comedy, Drama, Family, Musical, Mystery",6703,1995-12-15,"Roy Allen Smith"
19,tt0116817,2017-04-01,2020-08-23,"9 words ","The Land Before Time IV: Journey Through the Mists","The Land Before Time IV: Journey Through the Mists",https://www.imdb.com/title/tt0116817/,Video,5.7,74,1996,"Animation, Adventure, Comedy, Drama, Family, Musical",5568,1996-12-10,"Roy Allen Smith"
20,tt0424228,2017-04-01,2020-08-23,"9 words ","The Land Before Time XI: Invasion of the Tinysauruses","The Land Before Time XI: Invasion of the Tinysauruses",https://www.imdb.com/title/tt0424228/,Video,5.5,82,2005,"Animation, Adventure, Drama, Family, Musical",2086,2005-01-11,"Charles Grosvenor"
21,tt0933064,2017-04-01,2020-08-23,"11 words ","The Land Before Time XII: The Great Day of the Flyers","The Land Before Time XII: The Great Day of the Flyers",https://www.imdb.com/title/tt0933064/,Video,5.8,81,2006,"Animation, Adventure, Comedy, Drama, Family, Musical",1921,2007-02-27,"Charles Grosvenor"
22,tt0251127,2017-04-01,2020-08-23,"8 words ","How to Lose a Guy in 10 Days","How to Lose a Guy in 10 Days",https://www.imdb.com/title/tt0251127/,Movie,6.5,116,2003,"Comedy, Romance",282398,2003-02-07,"Donald Petrie"
23,tt6439020,2020-08-23,2020-08-23,"6 words ","The Personal History of David Copperfield","The Personal History of David Copperfield",https://www.imdb.com/title/tt6439020/,Movie,6.4,119,2019,"Comedy, Drama",22944,2020-08-28,"Armando Iannucci"
24,tt8580274,2020-08-23,2020-08-23,"8 words ","Eurovision Song Contest: The Story of Fire Saga","Eurovision Song Contest: The Story of Fire Saga",https://www.imdb.com/title/tt8580274/,Movie,6.5,123,2020,"Comedy, Music",104389,2020-06-26,"David Dobkin"
25,tt1552211,2020-08-23,2020-08-23,"6 words ","The Last Days of American Crime","The Last Days of American Crime",https://www.imdb.com/title/tt1552211/,Movie,3.8,148,2020,"Action, Crime, Drama, Sci-Fi, Thriller",12568,2020-06-05,"Olivier Megaton"
26,tt3846674,2020-08-23,2020-08-23,"7 words ","To All the Boys I've Loved Before","To All the Boys I've Loved Before",https://www.imdb.com/title/tt3846674/,Movie,7.0,99,2018,"Comedy, Drama, Romance",127927,2018-08-17,"Susan Johnson"
27,tt9354842,2020-08-23,2020-08-23,"9 words ","To All the Boys: P.S. I Still Love You","To All the Boys: P.S. I Still Love You",https://www.imdb.com/title/tt9354842/,Movie,6.1,101,2020,"Comedy, Drama, Romance",48165,2020-02-12,"Michael Fimognari"
28,tt6820324,2020-08-23,2020-08-23,"5 words","Timmy Failure: Mistakes Were Made","Timmy Failure: Mistakes Were Made",https://www.imdb.com/title/tt6820324/,Movie,6.0,99,2020,"Adventure, Comedy, Drama, Family, Fantasy",3428,2020-02-07,"Tom McCarthy"
29,tt8415352,2020-08-23,2020-08-23,"6 words ","The Murder of Nicole Brown Simpson","The Murder of Nicole Brown Simpson",https://www.imdb.com/title/tt8415352/,Movie,2.6,82,2019,"Crime, Horror, Mystery, Thriller",1955,2019-12-09,"Daniel Farrands"
30,tt2527338,2020-08-23,2020-08-23,"6 words ","Star Wars: Episode IX - The Rise of Skywalker","Star Wars: Episode IX - The Rise of Skywalker",https://www.imdb.com/title/tt2527338/,Movie,6.4,141,2019,"Action, Adventure, Fantasy, Sci-Fi",505642,2019-12-20,"J.J. Abrams"
31,tt3224458,2020-08-23,2020-08-23,"6 words ","A Beautiful Day in the Neighborhood","A Beautiful Day in the Neighborhood",https://www.imdb.com/title/tt3224458/,Movie,7.2,109,2019,"Biography, Drama, Family",90368,2019-11-22,"Marielle Heller"
32,tt9243946,2020-08-23,2020-08-23,"6 words ","El Camino","El Camino",https://www.imdb.com/title/tt9243946/,Movie,7.3,122,2019,"Action, Crime, Drama, Thriller",304072,2019-10-11,"Vince Gilligan"
33,tt3387520,2020-08-23,2020-08-23,"7 words ","Scary Stories to Tell in the Dark","Scary Stories to Tell in the Dark",https://www.imdb.com/title/tt3387520/,Movie,6.2,108,2019,"Adventure, Horror, Mystery",87835,2019-08-09,"André Øvredal"
34,tt1478839,2020-08-23,2020-08-23,"7 words ","The Art of Racing in the Rain","The Art of Racing in the Rain",https://www.imdb.com/title/tt1478839/,Movie,7.6,109,2019,"Comedy, Drama, Romance, Sport",39982,2019-08-09,"Simon Curtis"
35,tt7547410,2020-08-23,2020-08-23,"7 words ","Dora and the Lost City of Gold","Dora and the Lost City of Gold",https://www.imdb.com/title/tt7547410/,Movie,6.1,102,2019,"Action, Adventure, Comedy, Family, Fantasy, Mystery",35951,2019-08-09,"James Bobin"
36,tt6806448,2020-08-23,2020-08-23,"7 words ","Fast & Furious Presents: Hobbs & Shaw","Fast & Furious Presents: Hobbs & Shaw",https://www.imdb.com/title/tt6806448/,Movie,6.5,137,2019,"Action, Adventure, Thriller",242353,2019-08-02,"David Leitch"
37,tt7131622,2020-08-23,2020-08-23,"6 words ","Once Upon a Time... in Hollywood","Once Upon a Time in... Hollywood",https://www.imdb.com/title/tt7131622/,Movie,7.6,161,2019,"Comedy, Drama",876743,2019-07-26,"Quentin Tarantino"
38,tt4353250,2020-08-23,2020-08-23,"7 words ","The Last Black Man in San Francisco","The Last Black Man in San Francisco",https://www.imdb.com/title/tt4353250/,Movie,7.3,121,2019,"Drama",22288,2019-06-07,"Joe Talbot"
39,tt6146586,2020-08-23,2020-08-23,"5 words ","John Wick: Chapter 3 - Parabellum","John Wick: Chapter 3 - Parabellum",https://www.imdb.com/title/tt6146586/,Movie,7.4,130,2019,"Action, Crime, Thriller",439371,2019-05-17,"Chad Stahelski"
40,tt2481498,2020-08-23,2020-08-23,"6 words ","Extremely Wicked, Shockingly Evil and Vile","Extremely Wicked, Shockingly Evil and Vile",https://www.imdb.com/title/tt2481498/,Movie,6.7,110,2019,"Biography, Crime, Drama, Mystery, Thriller",106718,2019-05-03,"Joe Berlinger"
41,tt4530884,2020-08-23,2020-08-23,"8 words ","I Spit on Your Grave: Vengeance Is Mine","I Spit on Your Grave III: Vengeance Is Mine",https://www.imdb.com/title/tt4530884/,Movie,5.1,92,2015,"Horror, Thriller",16061,2015-11-29,"Richard Schenkman"
